"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2010","2010","PER","Persons","3","thousands",,,306,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2011","2011","PER","Persons","3","thousands",,,348,,
"AUS","Australia","YVPOI1L1_ST","Total increase","A","Annual","2012","2012","PER","Persons","3","thousands",,,400,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1995","1995","PER","Persons","3","thousands",,,255,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1996","1996","PER","Persons","3","thousands",,,253,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1997","1997","PER","Persons","3","thousands",,,252,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1998","1998","PER","Persons","3","thousands",,,249,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","1999","1999","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2000","2000","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2001","2001","PER","Persons","3","thousands",,,248,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2002","2002","PER","Persons","3","thousands",,,250,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2003","2003","PER","Persons","3","thousands",,,251,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2004","2004","PER","Persons","3","thousands",,,252,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2005","2005","PER","Persons","3","thousands",,,266,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2006","2006","PER","Persons","3","thousands",,,274,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2007","2007","PER","Persons","3","thousands",,,293,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2008","2008","PER","Persons","3","thousands",,,298,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2009","2009","PER","Persons","3","thousands",,,301,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2010","2010","PER","Persons","3","thousands",,,301,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2011","2011","PER","Persons","3","thousands",,,303,,
"AUS","Australia","YVPOBIL1_ST","Births","A","Annual","2012","2012","PER","Persons","3","thousands",,,310,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1995","1995","PER","Persons","3","thousands",,,125,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1996","1996","PER","Persons","3","thousands",,,128,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1997","1997","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1998","1998","PER","Persons","3","thousands",,,127,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","1999","1999","PER","Persons","3","thousands",,,128,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2000","2000","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2001","2001","PER","Persons","3","thousands",,,129,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2002","2002","PER","Persons","3","thousands",,,133,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2003","2003","PER","Persons","3","thousands",,,132,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2004","2004","PER","Persons","3","thousands",,,132,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2005","2005","PER","Persons","3","thousands",,,131,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2006","2006","PER","Persons","3","thousands",,,134,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2007","2007","PER","Persons","3","thousands",,,140,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2008","2008","PER","Persons","3","thousands",,,142,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2009","2009","PER","Persons","3","thousands",,,142,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2010","2010","PER","Persons","3","thousands",,,143,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2011","2011","PER","Persons","3","thousands",,,147,,
"AUS","Australia","YVPODEL1_ST","Deaths","A","Annual","2012","2012","PER","Persons","3","thousands",,,148,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1995","1995","PER","Persons","3","thousands",,,130,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1996","1996","PER","Persons","3","thousands",,,125,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1997","1997","PER","Persons","3","thousands",,,123,,
